"Data Source","World Development Indicators",
"Equatorial Guinea","GNQ","Number of deaths ages 15-19 years","SH.DTH.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","139","144","149","156","163","172","186","199","210","215","217","225","228","227","222","218","225","230","231","228","224","235","244","248","247","243","258","268","272","270","266","",
"Greece","GRC","Number of deaths ages 15-19 years","SH.DTH.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","419","422","423","424","423","420","416","411","404","392","376","356","333","309","289","272","259","247","235","221","206","188","172","159","149","141","134","129","123","118","114","",
"Grenada","GRD","Number of deaths ages 15-19 years","SH.DTH.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8","8","7","7","6","6","6","7","7","7","8","8","8","8","7","7","7","7","6","6","6","6","5","5","5","5","5","4","4","4","4","",
"Greenland","GRL","Number of deaths ages 15-19 years","SH.DTH.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guatemala","GTM","Number of deaths ages 15-19 years","SH.DTH.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1574","1659","1713","1742","1750","1751","1739","1750","1774","1802","1834","1874","1933","2010","2099","2190","2253","2286","2295","2286","2267","2249","2237","2243","2276","2330","2385","2436","2467","2465","2428","",
"Guam","GUM","Number of deaths ages 15-19 years","SH.DTH.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guyana","GUY","Number of deaths ages 15-19 years","SH.DTH.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","91","86","82","81","81","83","85","85","84","81","77","76","75","76","78","81","83","85","89","93","97","101","104","106","107","107","104","99","94","90","85","",
"High income","HIC","Number of deaths ages 15-19 years","SH.DTH.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","49643","49688","47107","45811","44639","43640","42524","41370","40223","39113","38068","37282","36525","35796","35111","34407","33667","32741","31584","30175","28635","27744","26036","25086","24465","24071","23943","23751","23443","22974","22414","",
"Hong Kong SAR, China","HKG","Number of deaths ages 15-19 years","SH.DTH.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Honduras","HND","Number of deaths ages 15-19 years","SH.DTH.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","849","855","863","872","881","889","895","900","1654","906","907","905","903","900","897","894","893","890","888","888","889","892","898","903","905","902","896","885","869","852","836","",
"Heavily indebted poor countries (HIPC)","HPC","Number of deaths ages 15-19 years","SH.DTH.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","147992","148051","152572","160123","221051","164590","168712","168526","170662","172868","170299","169406","168644","168203","167639","167601","167298","167615","169516","170224","190404","175091","178230","181615","185275","187881","189717","191125","191922","192780","192972","",
"Croatia","HRV","Number of deaths ages 15-19 years","SH.DTH.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","227","379","285","283","260","266","206","187","174","166","161","157","154","150","144","137","129","119","109","99","91","85","80","77","75","73","70","67","64","63","62","",
"Haiti","HTI","Number of deaths ages 15-19 years","SH.DTH.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2556","2530","2509","2508","2517","2525","2530","2538","2546","2532","2492","2432","2355","2276","2200","2137","2082","2032","1989","1951","19748","1887","1847","1816","1782","1752","1712","1672","1634","1605","1569","",
"Hungary","HUN","Number of deaths ages 15-19 years","SH.DTH.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","527","525","517","501","474","439","403","366","332","305","285","271","263","258","255","251","244","238","231","223","212","198","182","167","154","145","138","134","131","129","127","",
"IBRD only","IBD","Number of deaths ages 15-19 years","SH.DTH.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","505781","488474","479327","470154","461335","455701","448282","444646","442800","444719","442409","441081","439338","438698","442821","421165","409607","395827","381193","366820","353555","340837","328781","318057","307847","298420","289905","281316","273195","265768","259004","",
"IDA & IBRD total","IBT","Number of deaths ages 15-19 years","SH.DTH.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","774817","765419","753993","752802","805037","742331","738055","733144","732133","734541","728214","724195","720586","718305","721936","706364","688833","675959","669957","649868","656409","627967","621338","615075","608833","603516","595405","587341","579730","571102","562660","",
"IDA total","IDA","Number of deaths ages 15-19 years","SH.DTH.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","269036","276945","274666","282648","343702","286630","289773","288498","289333","289822","285805","283114","281248","279607","279115","285199","279226","280132","288764","283048","302854","287130","292557","297018","300986","305096","305500","306025","306535","305334","303656","",
"IDA blend","IDB","Number of deaths ages 15-19 years","SH.DTH.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","72875","73338","73940","74575","75121","75639","75970","76298","76626","76592","76601","76396","76244","76448","77074","84060","79188","80598","81685","82363","82639","82626","82791","82944","83217","83530","83620","83579","83479","83534","82884","",
"Indonesia","IDN","Number of deaths ages 15-19 years","SH.DTH.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26688","26622","26482","26381","26360","26422","26591","26897","27277","27600","27828","27698","27545","27417","38237","27415","26949","26441","25951","25681","25541","25695","25707","25537","25207","24728","24253","23743","23227","22645","21966","",
"IDA only","IDX","Number of deaths ages 15-19 years","SH.DTH.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","196161","203607","200726","208073","268581","210991","213803","212200","212707","213230","209204","206718","205004","203159","202041","201139","200038","199534","207079","200685","220215","204504","209766","214074","217769","221566","221880","222446","223056","221800","220772","",
"Isle of Man","IMN","Number of deaths ages 15-19 years","SH.DTH.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"India","IND","Number of deaths ages 15-19 years","SH.DTH.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","193861","189767","186622","184176","182944","182913","183798","185329","186946","188181","188557","187692","186107","183892","181097","177782","173720","169062","163907","158328","152588","146625","140599","134829","129154","123677","118627","114062","109916","106238","103063","",
"Not classified","INX","Number of deaths ages 15-19 years","SH.DTH.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Ireland","IRL","Number of deaths ages 15-19 years","SH.DTH.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","167","164","162","164","169","177","185","193","198","198","194","185","173","163","153","145","139","132","124","115","106","96","87","79","73","67","63","59","55","52","51","",
"Iran, Islamic Rep.","IRN","Number of deaths ages 15-19 years","SH.DTH.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12206","8970","8809","8728","8704","8700","8757","8839","8976","9118","9282","9402","9518","12309","9566","9471","9347","9162","8818","8272","7592","6829","6106","5519","5131","4924","4877","4932","5020","5072","5073","",
"Iraq","IRQ","Number of deaths ages 15-19 years","SH.DTH.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2192","2231","2277","2328","2380","2425","2463","2493","2520","2548","2581","2614","2655","2699","2738","2768","2778","2783","2795","2825","2879","2954","3034","3372","3165","3203","3224","3238","3247","3494","3252","",
"Iceland","ISL","Number of deaths ages 15-19 years","SH.DTH.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15","14","13","13","12","12","11","11","11","11","10","10","9","9","8","8","8","8","8","8","8","7","7","7","6","6","6","6","6","6","6","",
"Israel","ISR","Number of deaths ages 15-19 years","SH.DTH.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","185","186","190","197","207","214","213","208","204","207","215","224","229","222","201","181","170","164","159","151","143","139","139","142","149","155","158","158","156","155","154","",
"Italy","ITA","Number of deaths ages 15-19 years","SH.DTH.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2373","2294","2171","2025","1875","1738","1618","1516","1429","1353","1287","1229","1178","1131","1086","1041","1002","962","916","866","814","767","722","681","645","618","601","588","576","561","545","",
"Jamaica","JAM","Number of deaths ages 15-19 years","SH.DTH.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","290","283","274","266","260","256","250","247","245","243","241","239","237","236","236","236","236","237","237","237","236","233","230","225","221","215","207","198","189","181","174","",
"Jordan","JOR","Number of deaths ages 15-19 years","SH.DTH.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","389","404","416","425","432","438","444","451","458","463","466","464","461","457","457","460","467","478","492","508","525","547","569","591","611","628","640","648","653","655","656","",
"Japan","JPN","Number of deaths ages 15-19 years","SH.DTH.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4368","4212","3991","3738","3495","3290","3101","2941","2803","2670","2533","2393","2257","2129","2012","1905","1807","1713","1624","1542","1467","1881","1345","1298","1255","1218","1188","1166","1150","1138","1125","",
"Kazakhstan","KAZ","Number of deaths ages 15-19 years","SH.DTH.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1542","1604","1674","1742","1791","1809","1805","1771","1721","1670","1632","1621","1640","1679","1727","1762","1766","1700","1580","1440","1303","1160","1031","917","820","742","683","645","626","619","621","",
"Kenya","KEN","Number of deaths ages 15-19 years","SH.DTH.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4907","5314","5757","6194","6629","7030","7444","7798","8092","8340","8543","8666","8759","8820","8809","8752","8620","8435","8231","8075","7963","7878","7862","7875","7892","7879","7853","7783","7708","7655","7561","",
"Kyrgyz Republic","KGZ","Number of deaths ages 15-19 years","SH.DTH.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","348","356","364","371","379","387","392","394","394","392","388","383","378","376","374","374","379","383","383","379","371","355","338","323","310","299","289","280","273","268","266","",
"Cambodia","KHM","Number of deaths ages 15-19 years","SH.DTH.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3361","3153","2865","2575","2391","2352","2380","2547","2771","2936","2969","2829","2600","2329","2100","1947","1824","1767","1763","1764","1734","1679","1588","1477","1371","1287","1218","1155","1096","1055","1022","",
"Kiribati","KIR","Number of deaths ages 15-19 years","SH.DTH.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13","12","12","13","13","13","14","14","14","15","15","15","16","16","17","18","18","18","18","18","18","18","18","18","18","18","17","16","15","15","14","",
"St. Kitts and Nevis","KNA","Number of deaths ages 15-19 years","SH.DTH.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","4","4","4","4","4","4","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","6","6","6","5","5","5","5","4","",
"Korea, Rep.","KOR","Number of deaths ages 15-19 years","SH.DTH.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3411","3376","3287","3175","3090","3032","2910","2694","2409","2105","1819","1569","1355","1183","1063","994","970","993","1038","1062","1039","980","907","834","769","713","666","628","597","573","554","",
"Kuwait","KWT","Number of deaths ages 15-19 years","SH.DTH.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","151","1248","95","88","79","70","77","85","92","96","96","96","94","89","84","81","86","91","94","96","96","95","97","99","100","101","100","97","94","92","92","",
"Latin America & Caribbean (excluding high income)","LAC","Number of deaths ages 15-19 years","SH.DTH.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","51454","50706","50466","50588","51050","51629","51983","52162","53171","52247","52170","51810","51099","50086","49007","48202","47901","48223","49034","49999","68616","51163","51017","50612","50234","49893","49209","48031","46382","44494","42658","",
"Lao PDR","LAO","Number of deaths ages 15-19 years","SH.DTH.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1527","1539","1554","1571","1600","1627","1649","1665","1686","1703","1715","1725","1725","1726","1720","1695","1644","1582","1510","1432","1342","1222","1108","1002","903","828","776","735","705","682","663","",
"Lebanon","LBN","Number of deaths ages 15-19 years","SH.DTH.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","928","287","295","300","299","294","285","274","263","254","249","252","259","268","275","281","360","276","274","273","275","278","284","290","295","297","296","308","283","274","264","",
"Liberia","LBR","Number of deaths ages 15-19 years","SH.DTH.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1600","667","655","648","652","670","709","765","828","884","931","954","966","1171","972","979","991","1007","1029","1055","1085","1116","1153","1198","1246","1443","1341","1391","1435","1468","1485","",
"Libya","LBY","Number of deaths ages 15-19 years","SH.DTH.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","506","510","513","516","517","517","517","515","511","508","506","506","506","504","497","484","468","449","429","410","393","375","359","346","335","327","321","317","314","313","313","",
"St. Lucia","LCA","Number of deaths ages 15-19 years","SH.DTH.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13","12","12","11","11","11","11","11","11","11","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","11","11","11","11","11","10","",
"Latin America & Caribbean","LCN","Number of deaths ages 15-19 years","SH.DTH.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","55005","54437","54404","54702","55230","55763","56025","56123","57150","57485","56719","56776","56418","55656","54707","53988","53851","54474","55598","56752","75423","57976","57851","57503","57214","56942","56095","54670","52797","50764","48844","",
"Least developed countries: UN classification","LDC","Number of deaths ages 15-19 years","SH.DTH.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","190965","198545","195578","202780","263354","206043","209151","207791","207582","209286","205426","203144","201463","199556","198264","197112","195679","194855","202099","195357","214527","198332","200829","203910","207598","212541","213570","215080","216804","216518","216012","",
"Low income","LIC","Number of deaths ages 15-19 years","SH.DTH.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","125556","124534","127801","134085","194020","136470","139966","139318","140085","142809","139793","138645","137686","137158","136706","136906","137093","137863","140075","140862","143055","145497","150787","154765","157763","159997","160684","161232","162176","161565","161258","",
"Liechtenstein","LIE","Number of deaths ages 15-19 years","SH.DTH.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Sri Lanka","LKA","Number of deaths ages 15-19 years","SH.DTH.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2593","2461","2360","2289","2248","2231","2225","2232","2225","2180","2085","1928","1741","1555","3396","1328","1347","1451","1583","1673","1654","1474","1224","996","826","711","640","599","576","560","545","",
"Lower middle income","LMC","Number of deaths ages 15-19 years","SH.DTH.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","424547","425270","415888","414799","414716","415403","416208","417537","419747","419112","418680","415878","412787","411459","418070","407319","396074","390466","390467","377033","387332","361461","353582","346289","340081","334712","328304","322992","317906","313030","307801","",
"Low & middle income","LMY","Number of deaths ages 15-19 years","SH.DTH.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","771979","762297","750694","749165","801198","738462","734312","729580","728711","730002","724421","719976","715902","713218","716589","700878","683222","670142","663965","643851","650484","622152","615557","609263","603111","597552","589598","581776","574425","565895","557492","",
"Lesotho","LSO","Number of deaths ages 15-19 years","SH.DTH.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","516","534","556","579","604","632","658","685","710","730","743","746","739","725","707","688","663","639","617","600","582","558","541","527","518","511","501","491","481","469","456","",
"Late-demographic dividend","LTE","Number of deaths ages 15-19 years","SH.DTH.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","202505","193963","185321","178564","171406","165805","157833","152364","148470","146166","144986","144123","143727","142654","141825","134894","128609","120583","112181","104435","98136","92882","88794","85603","82830","80055","77246","74131","70833","67517","64851","",
"Lithuania","LTU","Number of deaths ages 15-19 years","SH.DTH.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","285","284","281","273","263","252","240","232","228","228","231","231","230","227","223","218","210","199","187","174","160","144","129","115","103","92","79","70","63","59","55","",
"Luxembourg","LUX","Number of deaths ages 15-19 years","SH.DTH.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19","18","17","16","15","14","13","12","11","11","10","9","9","9","8","8","8","8","8","7","7","7","7","7","7","7","7","6","6","6","6","",
"Latvia","LVA","Number of deaths ages 15-19 years","SH.DTH.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","230","226","219","210","199","190","181","175","169","164","158","152","146","140","133","125","114","103","92","82","73","64","57","50","46","43","41","40","40","42","43","",
"Macao SAR, China","MAC","Number of deaths ages 15-19 years","SH.DTH.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"St. Martin (French part)","MAF","Number of deaths ages 15-19 years","SH.DTH.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Morocco","MAR","Number of deaths ages 15-19 years","SH.DTH.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3051","2981","2930","2881","2841","2815","2770","2732","2698","2647","2587","2488","2380","2274","2191","2121","2057","2009","1973","1928","1881","1811","1733","1651","1581","1516","1457","1414","1375","1336","1300","",
"Monaco","MCO","Number of deaths ages 15-19 years","SH.DTH.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","0","",
"Moldova","MDA","Number of deaths ages 15-19 years","SH.DTH.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","319","319","362","321","319","315","311","304","297","290","282","274","268","262","256","249","240","228","214","200","187","173","161","150","142","136","130","126","122","120","119","",
"Madagascar","MDG","Number of deaths ages 15-19 years","SH.DTH.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3656","3725","3807","3899","3979","4051","4111","4173","4241","4337","4446","4573","4740","4935","5162","5401","5646","5896","6139","6335","6494","6601","6660","6704","6701","6709","6671","6629","6552","6477","6445","",
"Maldives","MDV","Number of deaths ages 15-19 years","SH.DTH.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25","23","21","19","18","17","17","16","16","16","17","17","17","17","26","17","17","18","18","18","18","18","18","17","16","15","15","15","14","12","11","",
"Middle East & North Africa","MEA","Number of deaths ages 15-19 years","SH.DTH.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36875","33812","32435","32485","32883","33059","33351","33483","33482","33350","33254","33291","33400","36156","33288","33003","32811","32353","31847","31189","30467","29935","31768","32370","31507","31002","30164","29787","30440","29670","28816","",
"Mexico","MEX","Number of deaths ages 15-19 years","SH.DTH.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9011","8882","8713","8545","8442","8409","8363","8230","8029","7818","7628","7463","7350","7283","7242","7251","7452","7914","8588","9279","9768","9860","9456","8848","8446","8426","8627","8882","9145","9432","9722","",
"Marshall Islands","MHL","Number of deaths ages 15-19 years","SH.DTH.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7","7","7","7","7","7","7","7","8","8","9","9","10","10","10","10","9","8","8","7","7","6","7","7","7","7","8","8","8","8","8","",
"Middle income","MIC","Number of deaths ages 15-19 years","SH.DTH.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","642955","634146","619130","611182","603170","597898","590198","586087","584444","583016","580462","577222","574152","572044","575914","560040","542260","528460","520104","499215","503650","472872","460979","450687","441504","433683","425017","416614","408292","400359","392249","",
"North Macedonia","MKD","Number of deaths ages 15-19 years","SH.DTH.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","76","76","76","76","76","77","77","78","80","80","80","85","76","72","69","65","62","60","57","54","51","48","46","43","41","39","37","36","36","35","35","",
"Mali","MLI","Number of deaths ages 15-19 years","SH.DTH.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3428","3459","3502","3552","3598","3644","3648","3653","3657","3656","3655","3628","3602","3576","3558","3549","3533","3540","3568","3597","3642","3681","3733","3810","3899","4020","4133","4252","4376","4482","4578","",
"Malta","MLT","Number of deaths ages 15-19 years","SH.DTH.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11","11","11","12","12","12","12","12","12","11","11","11","11","10","10","9","9","9","8","8","7","7","7","6","6","5","5","5","4","4","4","",
"Myanmar","MMR","Number of deaths ages 15-19 years","SH.DTH.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13261","13359","13371","13319","13286","13246","13144","13003","12854","12588","12230","11689","11093","10450","9764","9076","8291","7549","13321","6340","5837","5397","4976","4584","4245","3985","3792","3652","3528","3430","3319","",
"Middle East & North Africa (excluding high income)","MNA","Number of deaths ages 15-19 years","SH.DTH.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","34066","29914","29669","29659","29975","30051","30205","30269","30263","30172","30116","30059","30080","32765","29856","29541","29215","28680","28152","27537","26896","26434","28382","29119","28409","28054","27249","26933","27659","26975","26203","",
"Montenegro","MNE","Number of deaths ages 15-19 years","SH.DTH.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25","24","23","22","21","21","21","21","22","22","23","23","22","22","21","20","19","18","17","16","15","14","13","12","12","12","12","12","12","12","12","",
"Mongolia","MNG","Number of deaths ages 15-19 years","SH.DTH.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","285","307","325","338","343","341","333","318","297","276","260","253","256","264","272","275","270","257","241","226","213","201","192","184","177","170","163","157","151","146","144","",
"Northern Mariana Islands","MNP","Number of deaths ages 15-19 years","SH.DTH.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Mozambique","MOZ","Number of deaths ages 15-19 years","SH.DTH.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5688","5835","6020","6215","6407","6571","6803","7006","7154","7237","7261","7222","7153","7042","6951","6872","6799","6722","6661","6637","6632","6625","6630","6646","6700","6729","6777","6817","6868","6919","6933","",
"Mauritania","MRT","Number of deaths ages 15-19 years","SH.DTH.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","641","650","662","678","696","716","735","755","775","797","819","840","862","883","900","914","922","926","928","929","930","934","938","940","943","947","949","953","958","960","964","",
"Mauritius","MUS","Number of deaths ages 15-19 years","SH.DTH.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","80","79","77","75","73","70","69","67","65","62","59","57","54","53","52","52","53","55","56","58","58","58","57","56","55","55","55","56","57","58","58","",
"Malawi","MWI","Number of deaths ages 15-19 years","SH.DTH.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3777","3934","4081","4227","4381","4547","4729","4886","5011","5081","5098","5061","5011","4953","4868","4757","4618","4476","4331","4210","4106","3993","3886","3783","3675","3582","3491","3411","3349","3294","3275","",
"Malaysia","MYS","Number of deaths ages 15-19 years","SH.DTH.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1600","1635","1681","1752","1834","1910","1966","1976","1943","1900","1873","1881","1889","1884","1860","1814","1793","1795","1835","1895","1949","1967","1974","1971","1956","1929","1886","1816","1721","1621","1531","",
"North America","NAC","Number of deaths ages 15-19 years","SH.DTH.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17097","16843","16664","16521","16366","16120","15680","15198","14836","14652","14606","14674","14791","14920","15023","15006","14695","14201","13547","12792","12051","11488","11086","10900","10946","11106","11302","11384","11292","11024","10670","",
"Namibia","NAM","Number of deaths ages 15-19 years","SH.DTH.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","387","396","404","414","423","435","448","461","475","490","505","517","526","535","539","538","533","526","518","509","501","490","481","470","458","444","426","408","391","378","368","",
"New Caledonia","NCL","Number of deaths ages 15-19 years","SH.DTH.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Niger","NER","Number of deaths ages 15-19 years","SH.DTH.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3181","3201","3258","3350","3448","3550","3598","3647","3705","3775","3850","3906","3957","4009","4063","4133","4220","4309","4410","4511","4618","4711","4819","4906","4991","5071","5164","5232","5312","5384","5450","",
"Nigeria","NGA","Number of deaths ages 15-19 years","SH.DTH.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35721","35731","35770","35857","35843","35804","35592","35428","35235","35095","34923","34742","34542","34377","34280","34195","33971","33866","33816","33835","33963","34155","34478","34898","35433","35901","36289","36680","37065","37378","37583","",
"Nicaragua","NIC","Number of deaths ages 15-19 years","SH.DTH.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","823","777","780","782","783","785","783","781","967","774","766","754","738","722","705","690","675","662","649","635","620","603","586","568","552","536","522","510","500","491","483","",
"Netherlands","NLD","Number of deaths ages 15-19 years","SH.DTH.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","441","417","396","378","363","351","344","340","340","339","335","328","317","302","286","271","260","251","242","234","226","220","214","209","204","202","201","202","203","202","200","",
